"","lambda","intensity"
"913",372.33,0.048846
"914",372.54,0.054271
"915",372.74,0.052614
"916",372.95,0.041498
"917",373.16,0.055417
"918",373.37,0.057894
"919",373.58,0.042475
"920",373.79,0.055143
"921",374,0.050989
"922",374.2,0.061388
"923",374.41,0.059135
"924",374.62,0.052977
"925",374.83,0.052646
"926",375.04,0.055113
"927",375.25,0.056588
"928",375.45,0.041295
"929",375.66,0.059069
"930",375.87,0.057818
"931",376.08,0.062007
"932",376.29,0.060682
"933",376.5,0.058847
"934",376.7,0.056922
"935",376.91,0.062949
"936",377.12,0.064493
"937",377.33,0.052992
"938",377.54,0.055246
"939",377.75,0.063485
"940",377.95,0.057511
"941",378.16,0.060043
"942",378.37,0.053754
"943",378.58,0.063147
"944",378.79,0.048735
"945",379,0.06333
"946",379.2,0.053595
"947",379.41,0.057797
"948",379.62,0.059734
"949",379.83,0.053813
"950",380.04,0.055094
"951",380.24,0.049974
"952",380.45,0.043043
"953",380.66,0.045416
"954",380.87,0.049927
"955",381.08,0.050773
"956",381.28,0.041713
"957",381.49,0.047745
"958",381.7,0.040163
"959",381.91,0.042463
"960",382.12,0.047313
"961",382.32,0.040347
"962",382.53,0.046049
"963",382.74,0.037243
"964",382.95,0.040518
"965",383.16,0.04373
"966",383.36,0.03164
"967",383.57,0.042941
"968",383.78,0.04652
"969",383.99,0.03848
"970",384.2,0.04133
"971",384.4,0.042055
"972",384.61,0.048601
"973",384.82,0.051372
"974",385.03,0.044804
"975",385.23,0.04713
"976",385.44,0.047835
"977",385.65,0.051869
"978",385.86,0.042888
"979",386.07,0.059986
"980",386.27,0.03985
"981",386.48,0.047462
"982",386.69,0.053276
"983",386.9,0.035556
"984",387.1,0.046846
"985",387.31,0.05433
"986",387.52,0.047823
"987",387.73,0.052301
"988",387.94,0.057271
"989",388.14,0.044066
"990",388.35,0.049135
"991",388.56,0.065372
"992",388.77,0.057621
"993",388.97,0.058451
"994",389.18,0.064478
"995",389.39,0.055087
"996",389.6,0.057717
"997",389.8,0.064666
"998",390.01,0.061111
"999",390.22,0.060237
"1000",390.43,0.049423
"1001",390.63,0.05298
"1002",390.84,0.052375
"1003",391.05,0.064002
"1004",391.26,0.05335
"1005",391.46,0.051214
"1006",391.67,0.051055
"1007",391.88,0.04221
"1008",392.09,0.041637
"1009",392.29,0.052863
"1010",392.5,0.045072
"1011",392.71,0.049098
"1012",392.92,0.050817
"1013",393.12,0.049414
"1014",393.33,0.054622
"1015",393.54,0.046363
"1016",393.74,0.041184
"1017",393.95,0.045089
"1018",394.16,0.054047
"1019",394.37,0.047429
"1020",394.57,0.048627
"1021",394.78,0.05462
"1022",394.99,0.050129
"1023",395.19,0.049054
"1024",395.4,0.049006
"1025",395.61,0.04889
"1026",395.82,0.057597
"1027",396.02,0.052405
"1028",396.23,0.058822
"1029",396.44,0.06093
"1030",396.65,0.05684
"1031",396.85,0.06524
"1032",397.06,0.061987
"1033",397.27,0.06622
"1034",397.47,0.07164
"1035",397.68,0.066661
"1036",397.89,0.064716
"1037",398.09,0.063959
"1038",398.3,0.071409
"1039",398.51,0.065832
"1040",398.72,0.074058
"1041",398.92,0.08146
"1042",399.13,0.082842
"1043",399.34,0.088917
"1044",399.54,0.091217
"1045",399.75,0.087709
"1046",399.96,0.081883
"1047",400.16,0.082133
"1048",400.37,0.090019
"1049",400.58,0.089474
"1050",400.78,0.092426
"1051",400.99,0.08871
"1052",401.2,0.096465
"1053",401.41,0.094224
"1054",401.61,0.086844
"1055",401.82,0.093151
"1056",402.03,0.08769
"1057",402.23,0.087113
"1058",402.44,0.095598
"1059",402.65,0.090293
"1060",402.85,0.091455
"1061",403.06,0.091446
"1062",403.27,0.094384
"1063",403.47,0.092225
"1064",403.68,0.087189
"1065",403.89,0.093764
"1066",404.09,0.088319
"1067",404.3,0.082704
"1068",404.51,0.093613
"1069",404.71,0.092237
"1070",404.92,0.09696
"1071",405.13,0.080107
"1072",405.33,0.086185
"1073",405.54,0.087545
"1074",405.75,0.089987
"1075",405.95,0.088314
"1076",406.16,0.078483
"1077",406.37,0.08849
"1078",406.57,0.089269
"1079",406.78,0.091712
"1080",406.99,0.089896
"1081",407.19,0.093218
"1082",407.4,0.097583
"1083",407.6,0.093973
"1084",407.81,0.092818
"1085",408.02,0.085965
"1086",408.22,0.087902
"1087",408.43,0.096335
"1088",408.64,0.09391
"1089",408.84,0.091933
"1090",409.05,0.084526
"1091",409.26,0.09611
"1092",409.46,0.098869
"1093",409.67,0.090905
"1094",409.87,0.095808
"1095",410.08,0.093514
"1096",410.29,0.10257
"1097",410.49,0.087558
"1098",410.7,0.098671
"1099",410.91,0.095627
"1100",411.11,0.10217
"1101",411.32,0.098887
"1102",411.52,0.090795
"1103",411.73,0.10216
"1104",411.94,0.10133
"1105",412.14,0.10367
"1106",412.35,0.097432
"1107",412.56,0.10381
"1108",412.76,0.10295
"1109",412.97,0.096879
"1110",413.17,0.10097
"1111",413.38,0.10596
"1112",413.59,0.09653
"1113",413.79,0.099054
"1114",414,0.1023
"1115",414.2,0.10395
"1116",414.41,0.094347
"1117",414.62,0.10144
"1118",414.82,0.097033
"1119",415.03,0.091283
"1120",415.23,0.10147
"1121",415.44,0.093023
"1122",415.65,0.099693
"1123",415.85,0.092384
"1124",416.06,0.10084
"1125",416.26,0.097382
"1126",416.47,0.09903
"1127",416.68,0.10343
"1128",416.88,0.10529
"1129",417.09,0.086341
"1130",417.29,0.096451
"1131",417.5,0.10015
"1132",417.71,0.097638
"1133",417.91,0.095735
"1134",418.12,0.094243
"1135",418.32,0.10149
"1136",418.53,0.10117
"1137",418.73,0.094089
"1138",418.94,0.094925
"1139",419.15,0.093188
"1140",419.35,0.10357
"1141",419.56,0.098218
"1142",419.76,0.089496
"1143",419.97,0.1036
"1144",420.17,0.098389
"1145",420.38,0.086481
"1146",420.59,0.10128
"1147",420.79,0.10177
"1148",421,0.095014
"1149",421.2,0.086586
"1150",421.41,0.094454
"1151",421.61,0.091786
"1152",421.82,0.096281
"1153",422.02,0.09355
"1154",422.23,0.082131
"1155",422.44,0.10098
"1156",422.64,0.091221
"1157",422.85,0.09349
"1158",423.05,0.094708
"1159",423.26,0.095823
"1160",423.46,0.094022
"1161",423.67,0.091295
"1162",423.87,0.091802
"1163",424.08,0.089512
"1164",424.29,0.089283
"1165",424.49,0.096327
"1166",424.7,0.085103
"1167",424.9,0.094337
"1168",425.11,0.095105
"1169",425.31,0.093231
"1170",425.52,0.095812
"1171",425.72,0.088933
"1172",425.93,0.091836
"1173",426.13,0.087517
"1174",426.34,0.089365
"1175",426.54,0.08846
"1176",426.75,0.089905
"1177",426.95,0.089084
"1178",427.16,0.088798
"1179",427.36,0.087348
"1180",427.57,0.082129
"1181",427.78,0.080616
"1182",427.98,0.080511
"1183",428.19,0.081971
"1184",428.39,0.076699
"1185",428.6,0.077597
"1186",428.8,0.078954
"1187",429.01,0.083032
"1188",429.21,0.071971
"1189",429.42,0.087299
"1190",429.62,0.084837
"1191",429.83,0.080098
"1192",430.03,0.073991
"1193",430.24,0.083343
"1194",430.44,0.075178
"1195",430.65,0.081019
"1196",430.85,0.082843
"1197",431.06,0.076501
"1198",431.26,0.085888
"1199",431.47,0.075825
"1200",431.67,0.091807
"1201",431.88,0.087274
"1202",432.08,0.089985
"1203",432.29,0.090848
"1204",432.49,0.085491
"1205",432.7,0.085631
"1206",432.9,0.096189
"1207",433.11,0.094477
"1208",433.31,0.081934
"1209",433.52,0.091406
"1210",433.72,0.088318
"1211",433.93,0.091694
