"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"GR","F","TC",1.56,0.03,0.11,0.38,0.55
"GR","F","TC",2.26,0.01,0.08,0.2,0.39
"GR","F","TC",1.33,0.05,0.09,0.13,0.11
"GR","F","TC",0.79,0.04,0.38,0.18,0.49
"GR","F","TC",1.24,0.1,0.15,0.17,0.14
"GR","F","TC",0.32,0.02,0.08,0.02,0.32
"GR","F","TC",1.9,0.03,0.66,0.1,0.08
"GR","F","TC",0.99,0.32,0.3,0.24,0.19
"GR","F","TC",1.41,0.17,0.98,1,1
"GR","F","TC",0,0,0.14,0.31,0.3
"GR","F","TC",0.15,0.03,0.19,0.26,0.55
"GR","F","TC",0.76,0.1,0.17,0.6,0.42
"GR","F","TC",3.5,0.105,0.13,0.21,0.13
"GR","F","TC",1.79,0.05,0.12,0.22,0.6
"GR","F","TC",1.5,0.018,0.09,0.12,0.14
"GR","F","TC",1.44,0.15,0.19,0.09,0.21
"GR","F","TC",2.61,0.065,0.17,0.47,0.61
"GR","F","TC",1.43,0.014,0.12,0.28,0.53
"GR","F","TC",1.41,0.016,0.09,0.12,0.18
"GR","F","TC",0.98,0.055,0.51,0.58,0.31
"GR","F","TC",2.06,0.03,0.08,0.18,0.16
"GR","F","TC",0.77,0.13,0.08,0.07,0.11
"GR","F","TC",1.8,0.105,0.2,0.3,0.24
"GR","F","TC",0.7,0.1,0.21,0.47,0.51
"GR","F","TC",0.77,0.095,0.08,0.2,0.33
"GR","F","TC",0.3,0.02,0.11,1,1
"GR","F","TC",1.53,0.21,1,1,0.99
"GR","F","TC",0.48,0.058,0.08,0.75,0.34
"GR","F","TC",0.39,0.077,0.16,0.13,0.23
"GR","F","TC",0.56,0.026,0.06,0.58,0.39
"GR","F","TC",2.9,0.016,0.11,0.16,0.27
"GR","F","TC",1.62,0.011,0.09,0.13,0.24
"GR","F","TC",2.1,0.038,0.07,0.56,0.48
"GR","F","TC",1.35,0.027,0.11,0.07,0.19
"GR","F","TC",2.85,0.026,0.22,0.26,0.27
"GR","F","TC",0.73,0.132,0.28,0.16,0.33
"GR","F","TC",3.1,0.043,0.18,0.09,0.03
"GR","F","TC",1.2,0.04,0.05,1,0.11
"GR","F","TC",0.5,0.002,0.1,0.25,0.4
"GR","F","TC",0.3,0.025,0.15,0.4,0.25
"GR","F","TC",0.69,0.035,0.1,0.42,0.56
"GR","F","TC",1.75,0.09,0.05,0.1,0.25
"GR","F","TC",1.46,0.027,0.14,0.31,0.47
"GR","F","TC",0.78,0.028,0.16,0.26,0.1
"GR","F","TC",1.6,0.01,0.06,0.39,0.99
"GR","F","TC",2,0.045,0.05,0.25,0.15
"GR","F","TC",2.02,0.018,0.03,0.24,0.2
"GR","F","TC",3,0.08,0.15,0.8,0.4
"GR","F","TC",2.75,0.006,0.04,0.06,0.08
"GR","F","TC",3,0.1,0.35,0.15,0.5
"GR","F","TC",0.1,0.05,0.12,0.4,0.05
"GR","F","TC",1.3,0.23,1,1,1
"GR","F","TC",0.19,0.002,0.15,0.35,0.91
"GU","F","TG",1.15,0.07,1,1,0.2
"GU","F","TG",0.48,0.24,1,1,0.25
"GU","F","TG",3,0.065,1,1,0.07
"GU","F","TG",0.35,0.035,1,1,0.05
"GU","F","TG",0.32,0.015,0,0,0
"GU","F","TG",1.45,0.15,0,0,0
