SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Jul 25 10:38:40 HST 2007
User: guest
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB4E01242
Integration Time (usec): 100000 (USB4E01242)
Spectra Averaged: 1 (USB4E01242)
Boxcar Smoothing: 10 (USB4E01242)
Correct for Electrical Dark: No (USB4E01242)
Strobe/Lamp Enabled: No (USB4E01242)
Correct for Detector Non-linearity: No (USB4E01242)
Correct for Stray Light: No (USB4E01242)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<	
343.01	0.010421
343.22	0.0092225
343.43	0.0065234
343.64	0.0037085
343.85	0.011903
344.06	-0.0010312
344.27	0.010406
344.48	0.018975
344.69	0.011597
344.9	0.01461
345.11	0.00957
345.32	0.0077436
345.53	-0.0016917
345.74	0.015646
345.95	0.0034139
346.16	0.011303
346.37	0.011054
346.58	0.010495
346.79	0.0035249
347	0.014835
347.21	0.016092
347.42	0.0075575
347.63	0.0018704
347.84	0.011668
348.05	0.01631
348.26	0.010314
348.47	0.013522
348.68	0.012241
348.89	0.0009065
349.1	0.0089771
349.31	0.011544
349.52	0.0061476
349.73	0.0093654
349.94	0.010141
350.15	0.0029354
350.36	0.017985
350.57	0.014501
350.78	0.015985
350.99	0.015274
351.2	0.0086823
351.41	0.014298
351.62	0.0091768
351.83	0.010079
352.04	0.0092581
352.25	0.015415
352.46	0.01071
352.67	0.0067445
352.88	0.020453
353.09	-0.0010007
353.3	0.0096706
353.51	0.011145
353.72	0.019292
353.93	0.0099307
354.14	0.0053096
354.35	0.019179
354.56	0.010093
354.77	0.023127
354.98	0.002596
355.19	0.0093114
355.39	0.01166
355.6	0.0092183
355.81	0.014296
356.02	0.017174
356.23	0.0049177
356.44	0.0024657
356.65	0.015506
356.86	0.0080689
357.07	0.0062257
357.28	0.0146
357.49	0.010025
357.7	0.013697
357.91	0.0032402
358.12	0.0030521
358.33	0.011286
358.54	0.013721
358.75	0.008143
358.96	0.013926
359.16	-0.00013757
359.37	0.016997
359.58	0.011679
359.79	0.008183
360	0.0090267
360.21	0.0099612
360.42	0.007767
360.63	0.027377
360.84	0.017503
361.05	0.0016317
361.26	0.011787
361.47	0.020733
361.68	0.011758
361.88	0.017059
362.09	0.010534
362.3	0.016544
362.51	0.013173
362.72	0.024545
362.93	0.014071
363.14	0.016267
363.35	0.013481
363.56	0.011855
363.77	0.023389
363.98	0.019126
364.18	0.025797
364.39	0.022875
364.6	0.017434
364.81	0.019681
365.02	0.02132
365.23	0.022787
365.44	0.022745
365.65	0.02057
365.86	0.0097614
366.07	0.026992
366.27	0.019336
366.48	0.023128
366.69	0.019679
366.9	0.026218
367.11	0.022976
367.32	0.024608
367.53	0.018307
367.74	0.014716
367.95	0.014933
368.15	0.018641
368.36	0.023659
368.57	0.010242
368.78	0.028847
368.99	0.016921
369.2	0.01551
369.41	0.02206
369.62	0.018188
369.82	0.027369
370.03	0.018853
370.24	0.022701
370.45	0.01834
370.66	0.013139
370.87	0.013737
371.08	0.016234
371.28	0.016567
371.49	0.017147
371.7	0.016295
371.91	0.017402
372.12	0.011647
372.33	0.012047
372.54	0.017427
372.74	0.01665
372.95	0.0059754
373.16	0.020118
373.37	0.02264
373.58	0.0078019
373.79	0.020622
374	0.016359
374.2	0.026811
374.41	0.024722
374.62	0.017812
374.83	0.017234
375.04	0.019183
375.25	0.020273
375.45	0.0049977
375.66	0.021957
375.87	0.020577
376.08	0.025109
376.29	0.023578
376.5	0.021875
376.7	0.019598
376.91	0.025534
377.12	0.026004
377.33	0.014073
377.54	0.016835
377.75	0.025447
377.95	0.019044
378.16	0.021777
378.37	0.015455
378.58	0.024893
378.79	0.011037
379	0.026454
379.2	0.01695
379.41	0.021773
379.62	0.024647
379.83	0.01906
380.04	0.02132
380.24	0.016735
380.45	0.010083
380.66	0.012463
380.87	0.016997
381.08	0.01843
381.28	0.010024
381.49	0.016457
381.7	0.0090682
381.91	0.011675
382.12	0.016134
382.32	0.0094649
382.53	0.015217
382.74	0.0065912
382.95	0.010333
383.16	0.013485
383.36	0.0011021
383.57	0.012273
383.78	0.016081
383.99	0.0074475
384.2	0.010108
384.4	0.010846
384.61	0.017442
384.82	0.019646
385.03	0.013505
385.23	0.015866
385.44	0.015879
385.65	0.019491
385.86	0.01035
386.07	0.027178
386.27	0.0062968
386.48	0.0145
386.69	0.020094
386.9	0.0019507
387.1	0.012531
387.31	0.019745
387.52	0.012457
387.73	0.017033
387.94	0.022098
388.14	0.0087807
388.35	0.013873
388.56	0.029754
388.77	0.021556
388.97	0.021922
389.18	0.027765
389.39	0.017903
389.6	0.020825
389.8	0.028601
390.01	0.025166
390.22	0.024782
390.43	0.014602
390.63	0.018598
390.84	0.018131
391.05	0.030077
391.26	0.019966
391.46	0.018359
391.67	0.018568
391.88	0.010037
392.09	0.00986
392.29	0.021212
392.5	0.013598
392.71	0.017606
392.92	0.019819
393.12	0.01833
393.33	0.022912
393.54	0.015406
393.74	0.010367
393.95	0.013746
394.16	0.021734
394.37	0.015404
394.57	0.015758
394.78	0.020887
394.99	0.016324
395.19	0.01502
395.4	0.013984
395.61	0.013441
395.82	0.021577
396.02	0.014925
396.23	0.020817
396.44	0.021839
396.65	0.017061
396.85	0.02462
397.06	0.021001
397.27	0.024267
397.47	0.028827
397.68	0.023691
397.89	0.020307
398.09	0.017942
398.3	0.024804
398.51	0.018309
398.72	0.024495
398.92	0.031673
399.13	0.032196
399.34	0.037041
399.54	0.037555
399.75	0.033967
399.96	0.02709
400.16	0.026736
400.37	0.034906
400.58	0.033379
400.78	0.035938
400.99	0.032036
401.2	0.039388
401.41	0.036536
401.61	0.029288
401.82	0.035575
402.03	0.029807
402.23	0.029355
402.44	0.038271
402.65	0.03301
402.85	0.034404
403.06	0.034998
403.27	0.037665
403.47	0.035718
403.68	0.030921
403.89	0.037655
404.09	0.03249
404.3	0.026984
404.51	0.037751
404.71	0.036559
404.92	0.042042
405.13	0.025118
405.33	0.030727
405.54	0.032036
405.75	0.034405
405.95	0.032783
406.16	0.022969
406.37	0.03314
406.57	0.033551
406.78	0.036276
406.99	0.034359
407.19	0.0375
407.4	0.041454
407.6	0.038066
407.81	0.03649
408.02	0.029572
408.22	0.031547
408.43	0.039122
408.64	0.036195
408.84	0.034771
409.05	0.026658
409.26	0.038271
409.46	0.040784
409.67	0.032777
409.87	0.037138
410.08	0.034756
410.29	0.04313
410.49	0.027874
410.7	0.038033
410.91	0.034945
411.11	0.040923
411.32	0.037089
411.52	0.029007
411.73	0.040772
411.94	0.039087
412.14	0.041921
412.35	0.035927
412.56	0.042396
412.76	0.04172
412.97	0.035946
413.17	0.039507
413.38	0.044476
413.59	0.034762
413.79	0.037346
414	0.0407
414.2	0.04322
414.41	0.033318
414.62	0.040629
414.82	0.036193
415.03	0.030991
415.23	0.041351
415.44	0.033211
415.65	0.039911
415.85	0.032998
416.06	0.04163
416.26	0.038984
416.47	0.0404
416.68	0.044553
416.88	0.046905
417.09	0.028272
417.29	0.038879
417.5	0.042547
417.71	0.04047
417.91	0.038213
418.12	0.037374
418.32	0.04467
418.53	0.043715
418.73	0.037259
418.94	0.037905
419.15	0.036411
419.35	0.047058
419.56	0.041317
419.76	0.03266
419.97	0.046839
420.17	0.041396
420.38	0.029299
420.59	0.04372
420.79	0.044678
421	0.037973
421.2	0.028834
421.41	0.036733
421.61	0.033698
421.82	0.038279
422.02	0.035895
422.23	0.024332
422.44	0.043066
422.64	0.033199
422.85	0.035433
423.05	0.036391
423.26	0.038073
423.46	0.03632
423.67	0.033586
423.87	0.034415
424.08	0.032174
424.29	0.032203
424.49	0.039604
424.7	0.028775
424.9	0.038366
425.11	0.038904
425.31	0.036869
425.52	0.040566
425.72	0.033336
425.93	0.036294
426.13	0.032091
426.34	0.033708
426.54	0.034065
426.75	0.035471
426.95	0.035902
427.16	0.036815
427.36	0.035683
427.57	0.030924
427.78	0.030063
427.98	0.030508
428.19	0.032529
428.39	0.027627
428.6	0.028971
428.8	0.0305
429.01	0.034451
429.21	0.023396
429.42	0.039029
429.62	0.036633
429.83	0.031658
430.03	0.02578
430.24	0.035479
430.44	0.027274
430.65	0.033137
430.85	0.034161
431.06	0.028001
431.26	0.036116
431.47	0.02524
431.67	0.041167
431.88	0.036053
432.08	0.03771
432.29	0.037321
432.49	0.031454
432.7	0.031336
432.9	0.041026
433.11	0.038733
433.31	0.02585
433.52	0.035217
433.72	0.031832
433.93	0.035719
434.13	0.034715
434.34	0.044383
434.54	0.03291
434.74	0.035932
434.95	0.038019
435.15	0.035023
435.36	0.037784
435.56	0.032714
435.77	0.039632
435.97	0.032235
436.18	0.049854
436.38	0.041501
436.59	0.037564
436.79	0.044925
437	0.042955
437.2	0.039741
437.41	0.038499
437.61	0.042109
437.81	0.041001
