"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"LI","F","TG",0.033,0.25,0.18,0.4,0.57
"LI","F","TG",0.48,0.071,0.33,1,0.15
"LI","F","TG",0.37,0.048,0.22,0.75,0.04
"LI","F","TG",0.31,0.014,0.16,0.36,0.17
"LI","F","TG",0.41,0.094,0.14,0.46,0.13
"LI","F","TG",0.67,0.031,0.19,0.05,0.31
"LI","F","TG",0.39,0.021,0.06,0.04,0.48
"LI","F","TG",0.61,0.009,0.42,0.36,0.11
"LI","F","TG",0.4,0.02,0.11,0.17,0.78
"LI","F","TG",1.4,0.025,0.09,0.19,0.15
"LI","F","TG",0.3,0.05,0.43,1,0.74
"LI","F","TG",0.52,0.05,0.08,0.12,0.25
"LI","F","TG",0.26,0.02,0.1,0.13,0.1
"LI","F","TG",0.88,0.065,0.46,0.68,0.14
"LI","F","TG",0.4,0.02,0.08,0.2,0.3
"LI","F","TG",1.5,0.05,0.18,0.3,0.12
"LI","F","TG",1.85,0.09,0.13,0.54,0.3
"LI","F","TG",1.27,0.014,0.2,0.07,0.19
"LI","F","TG",0.88,0.004,0.05,0.29,0.25
"LI","F","TG",0.55,0.015,0.1,0.1,0.75
"LI","F","TG",0.69,0.015,0.2,0.4,0.82
"LI","F","TG",0.68,0.027,0.08,0.06,0.5
"LI","F","TG",0.52,0.065,0.08,0.15,0.32
"LI","F","TG",0.37,0.055,0.16,0.46,0.57
"LI","M","TG",0.63,0.14,0.01,0.11,0.22
"LI","M","TG",0.54,0.03,0.01,0.1,0.68
"LI","M","TG",0.22,0.02,0.02,0.02,0.15
"LI","M","TG",3,0.08,0.02,0.5,0.27
"LI","M","TG",0.58,0.05,0.17,0.02,0.53
"LI","M","TG",1.53,0.08,0.08,0.17,0.94
"LI","M","TG",0.51,0.1,0.2,0.02,0.13
"LI","M","TG",0.51,0.04,0.05,0.27,0.51
"LI","M","TG",0.1,0.07,0.04,0.09,0.05
"LI","M","TG",0.36,0.08,0.42,0.29,0.28
"LI","M","TG",2.75,0.13,0.85,0.93,0.32
"LI","M","TG",0,0,0.65,0.09,0.58
"LI","M","TG",0.56,0.01,0.14,0.1,0.28
"LI","M","TG",0.13,0.04,0.04,0.07,0.22
"LI","M","TG",0.23,0.065,0.09,0.06,0.31
"LI","M","TG",0.95,0.025,0.12,0.38,0.2
"LI","M","TG",0.91,0.08,0.12,0.18,0.22
"LI","M","TG",0.69,0.014,0.22,0.12,0.31
"LI","M","TG",0.59,0.13,0.29,0.3,0.33
"LI","M","TG",1.11,0.145,0.45,0.66,0.44
"LI","M","TG",0.22,0.025,0.12,0.15,0.12
"LI","M","TG",0.12,0.007,0.02,0.14,0.12
"LI","M","TG",1.1,0.04,0.4,0.18,0.06
"LI","M","TG",1.06,0.055,0.29,0.5,0.31
"LI","M","TG",0.46,0.1,0.15,0.27,0.9
"LI","M","TG",0,0,0.11,0.32,0.39
"LI","M","TG",1.31,0.018,0.07,0.06,0.12
"LI","M","TG",1.32,0.11,0.1,0.35,0.31
"LI","M","TG",0.68,0.006,0.02,0.38,0.49
"LI","M","TG",1.6,0.21,0.23,0.24,0.28
"LI","M","TG",1.25,0.023,0.05,0.27,0.04
"LI","M","TG",0.9,0.021,0.24,0.06,0.3
"LI","M","TG",0.94,0.048,0.13,0.14,0.28
"LI","M","TG",0.41,0.008,0.04,0.27,0.16
"LI","M","TG",1.36,0.03,0.73,0.9,0.65
"LI","M","TG",1.24,0.019,0.1,0.14,0.53
"LI","M","TG",0.49,0.02,0.24,0.42,0.04
"LI","M","TG",1.64,0.082,0.09,0.11,0.32
"LI","M","TG",0.33,0.018,0.07,0.06,0.04
"LI","M","TG",1.14,0.07,0.06,0.3,0.13
"LI","M","TG",1.7,0.05,0.1,0.49,0.11
"LI","M","TG",0.8,0.03,0.13,0.12,0.6
"LI","M","TG",0.9,0.08,0.65,1,0.29
"LI","M","TG",0.7,0.065,0.23,0.72,0.24
"LI","M","TG",0.91,0.04,0.12,0.08,0.12
"LI","M","TG",0.28,0.013,0.47,0.5,0.75
"LI","M","TG",0.83,0.018,0.12,0.14,0.15
"LI","M","TG",0.6,0.013,0.15,0.27,0.24
"LI","M","TG",0.98,0.06,0.08,0.05,0.2
"LI","M","TG",2,0.12,0.3,0.35,0.28
"LI","M","TG",0.46,0.05,0.31,0.18,0.13
"LI","M","TG",0.48,0.07,0.09,0.96,1
"OP","F","TC",0.13,0.065,0.07,0.25,0.1
"OP","F","TC",1.75,0.052,0.36,0.4,0.29
"OP","F","TC",0.7,0.075,0.06,0.49,0.2
"OP","F","TC",1.65,0.04,0.2,0.09,0.25
"OP","F","TC",0.53,0.1,0.49,0.56,0.12
"OP","F","TC",1.36,0.11,0.2,0.18,0.14
"OP","F","TC",1.43,0.1,0.35,0.15,0.13
"OP","F","TC",1.19,0.007,0.05,0.14,0.42
"OP","F","TC",1.99,0.24,0.49,0.61,1
"OP","F","TC",0.48,0.65,0.32,0.6,0.33
"OP","F","TC",0.14,0.003,0.01,0.35,0.7
"OP","F","TC",0.25,0.085,0.15,0.32,0.15
"OP","F","TC",0.12,0.04,0.49,0.88,0.08
"OP","F","TC",3.08,0.22,1,1,0.35
"OP","F","TC",3.74,0.14,0.1,0.06,0.27
"OP","F","TC",3.25,0.057,0.13,0.3,1
"OP","F","TC",2.28,0.029,0.04,0.85,0.06
"OP","F","TC",0.57,0.02,0.12,0.1,0.05
"OP","F","TC",0.82,0.075,0.08,0.34,0.39
"OP","F","TC",3.8,0.15,1,1,0.74
"OP","F","TC",1.24,0.074,0.79,0.45,0.25
"OP","F","TC",2.3,0.026,0.52,0.67,0.14
"OP","F","TC",1.32,0.027,0.48,0.4,0.39
"OP","F","TC",0.7,0.083,0.29,0.43,0.41
"OP","F","TC",1.55,0.045,0.07,0.15,0.06
"OP","F","TC",3.25,0.065,0.04,0.06,0.5
"OP","F","TC",0.41,0.055,0.13,0.7,0.19
"OP","F","TC",0.76,0.008,0.06,0.16,0.32
"OP","F","TC",6.2,0.18,0.12,1,1
"OP","F","TC",0.62,0.1,0.11,0.26,0.28
"OP","F","TC",2.5,0.014,0.2,0.23,1
"OP","F","TC",0.84,0.075,0.25,0.53,0.4
"OP","F","TC",1.46,0.008,0.03,0.15,0.2
"OP","F","TC",2,0.06,0.18,0.31,0.24
"OP","F","TC",2,0.12,1,1,0.25
"OP","F","TC",2.01,0.04,0.77,0.67,0.23
"OP","M","TC",2.3,0.052,0.13,0.05,0.41
"OP","M","TC",1.49,0.105,0.11,0.12,0.15
"OP","M","TC",1.56,0.014,0.07,0.75,0.33
"OP","M","TC",1.04,0.095,0.46,0.09,0.17
"OP","M","TC",0.84,0.085,0.32,0.56,0.22
"OP","M","TC",1.17,0.05,0.2,0.18,0.16
"OP","M","TC",1.87,0.065,0.13,0.58,0.13
"OP","M","TC",1.03,0.054,0.12,0.13,0.6
"OP","M","TC",1.33,0.075,0.09,0.22,0.26
"OP","M","TC",2.2,0.065,0.11,0.25,0.23
"OP","M","TC",1.35,0.085,0.16,0.38,0.31
"OP","M","TC",0.67,0.032,0.21,0.44,0.07
"OP","M","TC",1.5,0.3,0.99,1,1
"OP","M","TC",2.58,0.057,0.51,0.38,1
"OP","M","TC",1.35,0.021,0.14,0.38,0.36
"OP","M","TC",2.63,0.052,0.1,0.15,0.24
"OP","M","TC",2.61,0.047,0.7,0.72,0.24
"OP","M","TC",2.04,0.085,0.18,0.66,0.14
"OP","M","TC",2.1,0.09,0.26,0.17,0.07
"OP","M","TC",0.23,0.024,0.29,0.11,1
"OP","M","TC",2.1,0.077,1,0.79,0.21
"OP","M","TC",2.4,0.13,0.38,0.41,0.37
"OP","M","TC",1.07,0.09,0.39,0.9,0.18
"OP","M","TC",1.14,0.1,0.28,0.23,1
"OP","M","TC",0.84,0.086,0.28,0.25,0.21
"OP","M","TC",1.6,0.19,0.3,0.85,0.98
"OP","M","TC",5,0.07,0.15,0.25,0.25
"OP","M","TC",1.18,0.013,0.04,0.33,0.42
"OP","M","TC",3.1,0.21,0.12,0.4,0.55
"OP","M","TC",1.04,0.09,0.16,0.19,0.25
"OP","M","TC",1.51,0.017,0.19,0.31,0.28
"OP","M","TC",1.53,0.033,0.84,1,0.33
"OP","M","TC",1.92,0.22,0.56,0.56,0.56
"OP","M","TC",4.75,0.05,0.12,0.23,0.55
"OP","M","TC",1.57,0.27,0.42,1,0.38
"OP","M","TC",2.9,0.08,0.07,1,0.28
"OP","M","TC",2.4,0.32,1,1,0.2
"SA","F","TG",0.38,0.14,0.15,0.09,0.38
"SA","F","TG",0.03,0.12,0.19,0.6,0.12
"SA","F","TG",0,0,0.22,0.39,0.52
"SA","F","TG",0.62,0.02,0.12,0.26,0.08
"SA","F","TG",0.06,0.1,0.15,0.15,0.1
"SA","F","TG",0.02,0.01,0.09,0.03,0.12
"SA","F","TG",0.02,0.02,0.05,0.13,0.06
"SA","F","TG",0,0,0.02,0.36,0.15
"SA","F","TG",0.35,0.01,0.01,0.06,0.07
"SA","F","TG",0.12,0.04,0.1,0.18,0.05
"SA","F","TG",0.07,0.05,0.1,0.12,0.21
"SA","F","TG",0.12,0.004,0.05,0.08,0.19
"SA","F","TG",0.35,0.008,0.07,0.09,0.41
"SA","F","TG",0.4,0.04,0.06,0.19,0.21
"SA","F","TG",0.08,0.22,0.25,0.35,0.23
"SA","F","TG",0.075,0.01,0.07,0.28,0.67
"SA","F","TG",0.37,0.12,0.12,0.62,0.58
"SA","F","TG",0.27,0.05,0.27,0.46,0.22
"SA","F","TG",0.19,0.003,0.15,0.28,0.3
"SA","F","TG",0.73,0.08,0.1,0.11,0.15
"SA","F","TG",0.07,0.042,0.17,0.2,0.52
"SA","F","TG",0.21,0.002,0.07,0.08,0.75
"SA","F","TG",0.45,0.055,0.1,0.12,0.08
"SA","F","TG",1.31,0.1,0.16,0.23,0.18
"SA","F","TG",0.65,0.025,0.1,0.14,0.16
"SA","F","TG",0.25,0.18,0.23,0.32,0.29
"SA","F","TG",0.09,0.013,0.03,0.07,0.76
"SA","F","TG",0.19,0.32,0.11,0.17,0.13
"SA","F","TG",0.13,0.034,0.25,0.14,0.11
"SA","F","TG",0.06,0.075,0.32,1,1
"SA","F","TG",0.23,0.036,0.33,0.43,0.05
"SA","F","TG",0.08,0.12,0.42,0.56,0.31
"SA","F","TG",0.41,0.085,0.34,0.26,0.29
"SA","F","TG",0.38,0.059,0.21,0.2,0.06
"SA","F","TG",0.25,0.47,0.49,0.57,0.55
"SA","F","TG",0.06,0.042,0.09,0.43,0.2
"SA","F","TG",0.1,0.085,0.37,0.73,0.44
"SA","F","TG",0.2,0.004,0.16,0.54,0.37
"SA","F","TG",0.13,0.008,0.07,1,0.07
"SA","F","TG",0.35,0.09,0.42,1,0.58
"SA","F","TG",0.23,0.1,0.28,1,0.2
"SA","F","TG",0.45,0.025,0.07,0.08,0.11
"SA","F","TG",1.2,0.011,0.06,0.09,0.17
"SA","F","TG",0.45,0.06,0.09,0.11,0.33
"SA","F","TG",0.1,0.1,0.25,0.49,0.46
"SA","F","TG",0.1,0.1,0.16,0.23,0.39
"SA","F","TG",0.24,0.032,0.07,0.78,0.14
"SA","F","TG",0.23,0.05,0.04,1,0.11
"SA","F","TG",0.17,0.16,0.05,0.53,0.47
"SA","F","TG",0.2,0.009,0.08,0.1,1
"SA","F","TG",0.17,0.66,1,1,1
"SA","F","TG",0.55,0.11,0.15,0.65,0.78
"SA","F","TG",0.3,0.012,0.05,0.17,0.93
"SA","F","TG",0.42,0.01,0.15,0.31,0.24
"SA","F","TG",0.36,0.004,0.1,0.43,1
"SA","F","TG",0.21,0.12,0.07,0.27,0.87
"SA","M","TG",0.26,0.05,0.05,0.07,0.07
"SA","M","TG",0.1,0.1,0.1,0.4,0.1
"SA","M","TG",0.87,0.01,0.02,0.59,0.69
"SA","M","TG",0.26,0.03,0.1,0.05,0.29
"SA","M","TG",0,0,0.09,0.16,0.85
"SA","M","TG",0.12,0.01,0.14,0.35,0.29
