BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	512	512	512	512	0	512	512	512	512
Contact period end (sample #):	1005	1005	1005	1005	7999	1005	1005	1005	1005
Contact period start time (s):	0.511489	0.511489	0.511489	0.511489	0.000000	0.511489	0.511489	0.511489	0.511489
Contact period end time (s):	1.003996	1.003996	1.003996	1.003996	7.991009	1.003996	1.003996	1.003996	1.003996
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.094905	0.042746	0.033046	0.016322	0.056442	4.795910	0.173393	-0.026207	0.121741	0.213478
0.095904	0.048150	0.035195	0.028912	0.066280	4.795758	0.177208	-0.037652	0.022557	0.182563
0.096903	0.052988	0.037900	0.045957	0.079726	4.795453	0.112357	0.023385	-0.099515	0.151902
0.097902	0.057253	0.040801	0.067459	0.097434	4.795605	0.055136	0.053903	-0.130033	0.151175
0.098901	0.061082	0.043491	0.093133	0.119567	4.795758	-0.044048	0.095865	-0.030849	0.109918
0.099900	0.064638	0.045602	0.122313	0.145664	4.795453	-0.047862	0.095865	0.129371	0.167981
0.100899	0.067998	0.046875	0.153982	0.174733	4.795758	-0.028789	0.099680	0.175148	0.203572
0.101898	0.071111	0.047207	0.186897	0.205464	4.795605	0.085654	0.076791	0.266702	0.290454
0.102897	0.073829	0.046642	0.219742	0.236458	4.795453	0.146690	0.034829	0.358256	0.388688
0.103896	0.075992	0.045333	0.251266	0.266392	4.795758	0.161949	0.019570	0.274331	0.319168
0.104895	0.077524	0.043472	0.280350	0.294102	4.795453	0.139061	-0.003319	0.220925	0.261068
0.105894	0.078484	0.041233	0.306012	0.318595	4.795300	0.116172	-0.010948	0.243813	0.270298
0.106893	0.079049	0.038728	0.327383	0.339011	4.795605	0.078025	0.042458	0.190407	0.210108
0.107892	0.079452	0.036008	0.343723	0.354619	4.795300	0.028433	0.061532	0.259072	0.267793
0.108891	0.079885	0.033076	0.354487	0.364879	4.795453	-0.036418	0.038644	0.518476	0.521188
0.109890	0.080411	0.029925	0.359472	0.369569	4.795605	-0.024974	0.008126	0.533735	0.534380
0.110889	0.080928	0.026559	0.358957	0.368924	4.795147	0.070395	0.042458	0.548994	0.555115
0.111888	0.081203	0.023023	0.353778	0.363707	4.795453	0.192467	0.050088	0.465069	0.505808
0.112887	0.080965	0.019420	0.345253	0.355151	4.795605	0.169579	0.092050	0.342997	0.393544
0.113886	0.079998	0.015916	0.334976	0.344763	4.795453	0.089469	0.000496	0.190407	0.210380
0.114885	0.078200	0.012720	0.324522	0.334054	4.795147	0.024618	-0.041466	0.106482	0.116893
0.115884	0.075586	0.010045	0.315173	0.324266	4.795300	0.066580	-0.022393	0.114112	0.133999
0.116883	0.072274	0.008069	0.307737	0.316213	4.795605	0.112357	0.015755	0.274331	0.296867
0.117882	0.068470	0.006912	0.302526	0.310254	4.795453	0.123802	-0.014763	0.320108	0.343532
0.118881	0.064454	0.006642	0.299467	0.306397	4.795453	0.066580	-0.003319	0.419292	0.424558
0.119880	0.060548	0.007299	0.298274	0.304445	4.795300	0.074210	0.015755	0.358256	0.366200
0.120879	0.057053	0.008919	0.298611	0.304143	4.795453	0.013174	0.072976	0.342997	0.350922
0.121878	0.054171	0.011570	0.300204	0.305271	4.795605	-0.036418	0.099680	0.358256	0.373644
0.122877	0.051949	0.015354	0.302879	0.307686	4.795453	-0.055492	0.053903	0.404033	0.411373
0.123876	0.050242	0.020370	0.306549	0.311306	4.794690	0.024618	-0.045281	0.320108	0.324231
0.124875	0.048768	0.026633	0.311125	0.316048	4.795453	0.085654	-0.087243	0.205666	0.239262
0.125874	0.047195	0.033980	0.316401	0.321701	4.794995	0.173393	-0.068170	0.182777	0.260998
0.126873	0.045273	0.042013	0.321934	0.327805	4.794995	0.104728	-0.014763	0.091223	0.139669
0.127872	0.042922	0.050126	0.327005	0.333597	4.794995	0.093284	0.053903	0.289590	0.308982
0.128871	0.040259	0.057598	0.330699	0.338083	4.795605	0.074210	0.149271	0.388774	0.423006
0.129870	0.037561	0.063737	0.332097	0.340238	4.795147	0.001729	0.168345	0.442181	0.473146
0.130869	0.035181	0.068012	0.330528	0.339282	4.795147	-0.059307	0.145457	0.541364	0.563693
0.131868	0.033451	0.070127	0.325782	0.334919	4.795147	-0.005900	0.103494	0.526105	0.536221
0.132867	0.032610	0.070024	0.318209	0.327450	4.794995	0.055136	0.011940	0.457440	0.460905
0.133866	0.032773	0.067827	0.308667	0.317726	4.794690	0.020803	-0.037652	0.266702	0.270149
0.134865	0.033931	0.063767	0.298314	0.306935	4.794995	0.024618	0.027199	0.182777	0.186423
0.135864	0.035973	0.058142	0.288309	0.296305	4.794995	0.062766	0.034829	0.098853	0.122165
0.136863	0.038700	0.051324	0.279525	0.286821	4.794690	0.074210	0.134012	0.144630	0.210676
0.137862	0.041846	0.043806	0.272346	0.279002	4.794995	0.032247	0.198863	0.106482	0.227870
0.138861	0.045077	0.036240	0.266604	0.272806	4.795147	-0.074566	0.164531	0.129371	0.222187
0.139860	0.047995	0.029408	0.261669	0.267655	4.795147	-0.036418	0.046273	0.342997	0.348015
0.140859	0.050168	0.024102	0.256662	0.262628	4.794842	0.062766	-0.106317	0.495587	0.510734
0.141858	0.051216	0.020921	0.250718	0.256750	4.794842	0.158134	-0.197871	0.449810	0.516225
0.142857	0.050930	0.020085	0.243203	0.249289	4.794690	0.211541	-0.167353	0.335367	0.430381
0.143856	0.049386	0.021335	0.233791	0.239901	4.794690	0.169579	-0.113947	0.167518	0.264203
0.144855	0.046971	0.023982	0.222409	0.228577	4.794995	0.108543	0.046273	0.007298	0.118220
0.145854	0.044310	0.027118	0.209120	0.215476	4.794690	0.001729	0.221752	0.106482	0.245999
0.146853	0.042088	0.029895	0.194035	0.200785	4.794537	-0.082195	0.290417	0.198036	0.360994
0.147852	0.040843	0.031788	0.177329	0.184727	4.794690	-0.162305	0.237011	0.335367	0.441575
0.148851	0.040785	0.032716	0.159319	0.167679	4.794537	-0.143231	0.099680	0.251443	0.306063
0.149850	0.041732	0.032991	0.140548	0.150279	4.794842	-0.013530	-0.075799	0.129371	0.150550
0.150849	0.043184	0.033109	0.121801	0.133404	4.794690	0.104728	-0.178797	0.159889	0.261727
0.151848	0.044522	0.033500	0.104063	0.118041	4.794842	0.219171	-0.159724	0.167518	0.318763
0.152847	0.045256	0.034342	0.088424	0.105101	4.794384	0.272577	-0.091058	0.030187	0.288966
0.153846	0.045220	0.035513	0.075955	0.095264	4.794690	0.234430	0.015755	0.014928	0.235432
0.154845	0.044630	0.036698	0.067579	0.088913	4.794995	0.104728	0.198863	-0.023220	0.225951
0.155844	0.043983	0.037580	0.063964	0.086245	4.794537	-0.097454	0.259899	-0.046108	0.281373
0.156843	0.043823	0.038037	0.065474	0.087488	4.794690	-0.265303	0.214122	0.137000	0.367428
0.157842	0.044486	0.038225	0.072184	0.093009	4.794232	-0.200453	0.114939	0.198036	0.304320
0.158841	0.045958	0.038523	0.083929	0.103151	4.794384	-0.021159	-0.098688	0.121741	0.158139
0.159840	0.047904	0.039341	0.100335	0.117940	4.794384	0.196282	-0.201686	-0.007961	0.281544
0.160839	0.049875	0.040906	0.120809	0.136951	4.794384	0.322169	-0.155909	0.014928	0.358222
0.161838	0.051543	0.043126	0.144514	0.159377	4.794384	0.264948	-0.041466	0.083594	0.280900
0.162837	0.052861	0.045605	0.170396	0.184144	4.794384	0.093284	0.069162	0.114112	0.162809
0.163836	0.054056	0.047807	0.197274	0.210059	4.794537	0.005544	0.221752	0.312479	0.383207
0.164835	0.055466	0.049294	0.223990	0.235961	4.794690	-0.116528	0.305676	0.350626	0.479537
0.165834	0.057334	0.049922	0.249558	0.260881	4.794537	-0.192823	0.240826	0.434551	0.532928
0.166833	0.059636	0.049920	0.273252	0.284104	4.794537	-0.101269	0.095865	0.335367	0.363204
0.167832	0.062045	0.049785	0.294579	0.305132	4.794079	0.093284	-0.091058	0.159889	0.206295
0.168831	0.064057	0.050064	0.313165	0.323546	4.794232	0.222985	-0.205501	0.159889	0.342808
0.169830	0.065208	0.051090	0.328599	0.338880	4.794537	0.310725	-0.201686	0.175148	0.409761
0.170829	0.065290	0.052834	0.340351	0.350560	4.794079	0.314539	-0.037652	0.228554	0.390627
0.171828	0.064439	0.054914	0.347798	0.357955	4.794232	0.139061	0.160716	0.381145	0.436393
0.172827	0.063049	0.056782	0.350375	0.360503	4.794079	-0.139417	0.271344	0.503217	0.588465
0.173826	0.061540	0.057958	0.347781	0.357908	4.794232	-0.272933	0.278973	0.564253	0.686076
0.174825	0.060097	0.058223	0.340162	0.350302	4.793927	-0.189008	0.179790	0.472699	0.539900
0.175824	0.058538	0.057658	0.328192	0.338321	4.794079	-0.024974	0.027199	0.335367	0.337394
0.176823	0.056385	0.056534	0.313008	0.323031	4.794537	0.211541	-0.110132	0.297220	0.381075
0.177822	0.053111	0.055118	0.296044	0.305779	4.794079	0.352687	-0.171168	0.251443	0.465736
0.178821	0.048441	0.053498	0.278816	0.288005	4.794232	0.356502	-0.083429	0.152259	0.396531
0.179820	0.042542	0.051513	0.262716	0.271077	4.794232	0.200097	0.042458	0.182777	0.274315
0.180819	0.036015	0.048836	0.248864	0.256155	4.794232	-0.040233	0.195049	0.198036	0.280858
0.181818	0.029680	0.045148	0.238034	0.244089	4.793774	-0.219526	0.221752	0.220925	0.382326
0.182817	0.024245	0.040320	0.230648	0.235398	4.794232	-0.288192	0.195049	0.251443	0.429327
0.183816	0.020029	0.034511	0.226828	0.230311	4.794079	-0.234785	0.084421	0.342997	0.424144
0.184815	0.016861	0.028136	0.226449	0.228813	4.793774	0.005544	-0.052911	0.182777	0.190362
0.185814	0.014190	0.021732	0.229183	0.230648	4.793927	0.161949	-0.113947	0.083594	0.214940
0.186813	0.011371	0.015783	0.234520	0.235326	4.793927	0.268762	-0.140650	0.220925	0.375264
0.187812	0.007977	0.010592	0.241821	0.242184	4.793927	0.253503	-0.083429	0.205666	0.336931
0.188811	0.004010	0.006256	0.250407	0.250517	4.793927	0.165764	0.057717	0.442181	0.475744
