;"species";"sex";"spsex";"ecomorph";"pht";"pdia";"dist1";"dist2";"dist3";"island"
"149";"EV";"F";"EVF";"TC";1;0.035;"0.25";"0.07";"0.25";"pr"
"150";"EV";"M";"EVM";"TC";1;3;"1.00";"1.00";"1.00";"pr"
"151";"EV";"M";"EVM";"TC";3;0.15;".";".";".";"pr"
"152";"EV";"M";"EVM";"TC";4;0.15;"0.25";"1.00";"0.05";"pr"
"153";"EV";"M";"EVM";"TC";1.52;0.21;"1.00";"0.60";"0.74";"pr"
"154";"EV";"M";"EVM";"TC";0.75;0.068;"0.16";"0.13";"0.23";"pr"
"155";"EV";"M";"EVM";"TC";0.96;0.04;"0.23";"0.19";"0.21";"pr"
"156";"EV";"M";"EVM";"TC";1.52;0.075;"0.40";"1.00";"0.39";"pr"
"157";"EV";"M";"EVM";"TC";2.54;0.16;"0.30";"0.35";"0.50";"pr"
"158";"EV";"M";"EVM";"TC";1.18;0.12;"0.18";"0.12";"0.19";"pr"
"159";"EV";"M";"EVM";"TC";0;0;"0.53";"1.00";"0.75";"pr"
"160";"EV";"M";"EVM";"TC";0.6;0.035;"0.11";"1.00";"0.14";"pr"
"161";"EV";"M";"EVM";"TC";25;0.01;"0.06";"0.04";"1.00";"pr"
"162";"EV";"M";"EVM";"TC";6;0.01;"0.05";"0.20";"0.40";"pr"
"163";"EV";"M";"EVM";"TC";1.5;0.07;"0.15";"0.12";"0.07";"pr"
"164";"EV";"M";"EVM";"TC";0.63;0.06;"0.08";"0.15";"0.16";"pr"
"165";"EV";"M";"EVM";"TC";1.18;0.05;"0.33";"0.51";"0.07";"pr"
"166";"EV";"M";"EVM";"TC";1.56;0.086;"0.13";"1.00";"0.32";"pr"
"167";"EV";"M";"EVM";"TC";1.2;0.08;"0.13";"0.19";"0.22";"pr"
"168";"EV";"M";"EVM";"TC";2.3;0.09;"0.20";"1.00";"1.00";"pr"
"169";"EV";"M";"EVM";"TC";16.7;0.07;"0.05";"0.04";"1.00";"pr"
"170";"EV";"M";"EVM";"TC";3.8;0.11;"1.00";"1.00";"0.76";"pr"
"171";"EV";"M";"EVM";"TC";2;0.17;"0.54";"1.00";"0.91";"pr"
"172";"EV";"M";"EVM";"TC";1.75;0.18;"0.40";"0.25";"0.81";"pr"
"173";"EV";"M";"EVM";"TC";0.93;0.032;"1.00";"0.98";"0.75";"pr"
"174";"EV";"M";"EVM";"TC";2.7;0.31;"1.00";"0.33";"0.52";"pr"
"175";"EV";"M";"EVM";"TC";0.47;0.21;"1.00";"1.00";"0.63";"pr"
"176";"EV";"M";"EVM";"TC";0.71;0.11;"0.73";"1.00";"1.00";"pr"
"177";"EV";"M";"EVM";"TC";1.77;0.12;"0.19";"1.00";"0.58";"pr"
"178";"EV";"M";"EVM";"TC";2;0.05;"0.27";"0.07";"0.23";"pr"
"179";"EV";"M";"EVM";"TC";2.8;0.23;"0.22";"0.81";"0.31";"pr"
"180";"EV";"M";"EVM";"TC";0.31;0.09;"0.04";"0.28";"0.37";"pr"
"181";"EV";"M";"EVM";"TC";0.39;0.65;"0.77";"0.86";"0.96";"pr"
"182";"EV";"M";"EVM";"TC";0.95;0.18;"0.11";"0.10";"0.53";"pr"
"183";"EV";"M";"EVM";"TC";1.55;0.035;"0.31";"0.20";"0.29";"pr"
"184";"EV";"M";"EVM";"TC";5;0.03;"0.15";"0.05";"0.80";"pr"
"185";"EV";"M";"EVM";"TC";3;0.16;"0.25";"1.00";"0.60";"pr"
"186";"EV";"M";"EVM";"TC";1;0.29;"0.40";"0.62";"0.33";"pr"
"187";"EV";"M";"EVM";"TC";0.3;0.19;"0.29";"0.35";"0.20";"pr"
"188";"EV";"M";"EVM";"TC";1.5;0.002;"0.50";"1.00";"1.00";"pr"
"189";"EV";"M";"EVM";"TC";1.3;0.03;"0.13";"0.12";"0.13";"pr"
"190";"EV";"M";"EVM";"TC";0.6;0.13;"0.15";"1.00";"0.20";"pr"
"191";"EV";"M";"EVM";"TC";0.75;0.05;"0.10";"0.27";"0.75";"pr"
"192";"GA";"F";"GAF";"CG";4;0.11;"0.60";"0.45";"0.40";"jamaica"
"193";"GA";"F";"GAF";"CG";4;0.15;"0.04";"0.40";"0.18";"jamaica"
"194";"GA";"F";"GAF";"CG";1.52;0.63;"0.01";"0.15";"0.12";"jamaica"
"195";"GA";"F";"GAF";"CG";1.64;0.36;"0.46";"0.42";"0.39";"jamaica"
"196";"GA";"F";"GAF";"CG";1.18;0.08;"0.18";"0.19";"0.28";"jamaica"
"197";"GA";"F";"GAF";"CG";3;0.08;"0.38";"0.47";"0.18";"jamaica"
"198";"GA";"F";"GAF";"CG";2.5;0.14;"0.07";"0.18";"0.08";"jamaica"
"199";"GA";"F";"GAF";"CG";2.2;0.11;"0.06";"0.18";"0.23";"jamaica"
"200";"GA";"F";"GAF";"CG";3.1;0.19;"0.20";"0.45";"0.14";"jamaica"
"201";"GA";"F";"GAF";"CG";2.5;0.09;"0.06";"0.07";"0.08";"jamaica"
"202";"GA";"F";"GAF";"CG";1.82;0.53;"1.00";"0.94";"0.63";"jamaica"
"203";"GA";"F";"GAF";"CG";2.46;0.38;"0.13";"0.62";"1.00";"jamaica"
"204";"GA";"F";"GAF";"CG";1.37;0.15;"0.22";"0.13";"0.32";"jamaica"
"205";"GA";"F";"GAF";"CG";2.6;0.12;"0.32";"0.13";"0.28";"jamaica"
"206";"GA";"F";"GAF";"CG";1.72;0.085;"0.32";"0.15";"0.15";"jamaica"
"207";"GA";"F";"GAF";"CG";1.55;0.095;"0.09";"0.15";"0.13";"jamaica"
"208";"GA";"F";"GAF";"CG";3.66;0.08;"0.19";"0.10";"0.28";"jamaica"
"209";"GA";"F";"GAF";"CG";1.2;0.26;"0.21";"0.50";"0.67";"jamaica"
"210";"GA";"F";"GAF";"CG";1.07;0.045;"0.07";"0.60";"0.74";"jamaica"
"211";"GA";"F";"GAF";"CG";0.8;0.37;"1.00";"1.00";"1.00";"jamaica"
"212";"GA";"F";"GAF";"CG";1.2;0.065;"0.26";"0.93";"0.11";"jamaica"
"213";"GA";"F";"GAF";"CG";3.3;0.08;"0.18";"0.77";"0.36";"jamaica"
"214";"GA";"F";"GAF";"CG";2.9;0.13;"0.22";"0.36";"0.43";"jamaica"
"215";"GA";"F";"GAF";"CG";2.5;0.07;"0.20";"0.35";"0.10";"jamaica"
"216";"GA";"F";"GAF";"CG";1.5;0.06;"0.47";"0.41";"0.13";"jamaica"
"217";"GA";"F";"GAF";"CG";4;0.06;"0.20";"0.15";"0.90";"jamaica"
