,"species","family","SVL","TL","HL","FLL","HLL","Nfingers","Ntoes","N","ecology","source","PC1","PC2","PC3","morph","eco"
138,"Amphiglossus intermedius","Scincidae",68,63.1,5.3,9.3,18.3,5,5,2,"terrestrial (leaf-litter); for genus","Glaw & Vences (1994)",0.68,-0.56,-0.58,0,0
139,"Amphiglossus macrocercus","Scincidae",68.7,116.9,7.7,15.1,22.7,5,5,4,"terrestrial, arboreal?","Glaw & Vences (1994)",0.69,-0.36,0.22,0,0
140,"Amphiglossus melanopleura","Scincidae",43.7,72.3,4.5,7.4,13.3,5,5,3,"terrestrial (leaf-litter)","Glaw & Vences (1994)",0.52,-1.2,-0.27,0,0
141,"Amphiglossus melanurus","Scincidae",65.2,109,5.7,9,14.9,5,5,3,"terrestrial (leaf-litter)","Glaw & Vences (1994)",0.49,-0.73,0.16,0,0
142,"Amphiglossus mouroundavae","Scincidae",57.9,88.7,6.1,13.2,19.4,5,5,1,"terrestrial, under cover","Glaw & Vences (1994)",0.68,-0.66,-0.11,0,0
143,"Amphiglossus ornaticeps","Scincidae",55,76.2,4.1,4.3,7.8,5,5,1,"terrestrial (leaf-litter)","Glaw & Vences (1994)",0.31,-1.15,-0.23,0,0
144,"Amphiglossus punctatus","Scincidae",60.7,89.1,6.6,13.2,19.4,5,5,2,"terrestrial (leaf-litter); arboreal?","Glaw & Vences (1994)",0.7,-0.54,-0.11,0,0
145,"Amphiglossus stumpffi","Scincidae",86.9,87.8,6.3,12.7,21.6,5,5,2,"terrestrial (leaf-litter); for genus","Glaw & Vences (1994)",0.7,-0.25,-0.23,0,0
146,"Amphiglossus tsaratananensis","Scincidae",84.1,105.4,7.5,11.9,17.8,5,5,1,"terrestrial (leaf-litter); for genus","Glaw & Vences (1994)",0.64,-0.19,0.04,0,0
147,"Amphiglossus waterlotti","Scincidae",121,181.3,13.1,23.7,31.4,5,5,1,"terrestrial (leaf-litter); for genus","Glaw & Vences (1994)",0.8,0.56,0.64,0,0
148,"Anomalopus mackayi","Scincidae",107,113,5.8,7.5,6,2,1,2,"burrowing","Cogger (1992)",-0.25,-0.19,0.22,1,1
149,"Anomalopus swansoni","Scincidae",90.44,69.78,4.3,0,0,0,0,9,"burrowing","Cogger (1992)",-1.49,-0.69,0.07,1,1
150,"Brachymeles gracilis","Scincidae",75,75.2,6.2,8.3,13.8,5,5,14,"burrowing","Brown (1954)",0.6,-0.4,-0.36,0,1
151,"Brachymeles talinis","Scincidae",108.4,104.5,8.5,12.5,20.9,5,5,8,"burrowing","Brown (1954)",0.7,0.17,-0.03,0,1
152,"Calyptotis scutirostrum","Scincidae",43.6,59.2,4.72,8,11.2,5,5,5,"burrowing","Cogger (1992)",0.58,-1.08,-0.54,0,1
153,"Chalcides chalcides","Scincidae",136,151.1,7.5,5.6,8.3,3,3,7,"terrestrial, cryptic, ""grass-swimming""?","Schleich et al. (1996)",0.01,0.07,0.53,1,0
154,"Chalcides mionecton","Scincidae",86.8,67.2,6.5,6.5,15.1,4,4,3,"burrowing, cryptic","Schleich et al. (1996)",0.49,-0.19,-0.47,0,0
155,"Chalcides ocellatus","Scincidae",119.5,121.9,11.4,22.2,30.3,5,5,5,"terrestrial, burrowing","Arnold & Burton (1978)",0.88,0.55,0.11,0,0
156,"Chalcides polylepis","Scincidae",109.3,130.3,10.3,21.2,29,5,5,4,"terrestrial, cryptic","Schleich et al. (1996)",0.82,0.34,0.22,0,0
157,"Coeranoscincus reticulatus","Scincidae",181,210.5,8.55,11,11.5,3,3,2,"burrowing","Cogger (1992)",0.1,0.41,0.83,1,0
158,"Ctenotus leonhardii","Scincidae",73.2,141.8,9.28,22.6,37,5,5,5,"terrestrial (for genus)","Cogger (1992)",0.82,-0.15,0.44,0,0
159,"Ctenotus pantherinus","Scincidae",87,115,9.5,24,33,5,5,1,"terrestrial (for genus)","Cogger (1992)",0.89,0.12,0.11,0,0
160,"Ctenotus robustus","Scincidae",83,167.38,10.81,23,36.5,5,5,8,"terrestrial (for genus)","Cogger (1992)",0.8,0.05,0.64,0,0
161,"Egernia whitii","Scincidae",79.86,124.14,11.09,21.57,30,5,5,7,"saxicolous, terrestrial","Cogger (1992)",0.87,0.14,0.26,0,0
162,"Eremiascincus richardsonii","Scincidae",91.25,121,12.03,24.25,31,5,5,4,"burrowing (sand-swimming)","Cogger (1992)",0.92,0.36,0.18,0,0
163,"Eugongylus rufescens","Scincidae",118.57,188.71,12.63,26.71,35.86,5,5,7,"terrestrial","Cogger (1992)",0.83,0.51,0.69,0,0
164,"Eulamprus amplus","Scincidae",98,129.75,13.72,29.5,42.25,5,5,4,"saxicolous, terrestrial","Cogger (1992)",1.01,0.55,0.25,0,0
165,"Eulamprus murrayi","Scincidae",87.5,117.75,11.78,24,33.5,5,5,4,"terrestrial","Cogger (1992)",0.93,0.31,0.16,0,0
166,"Eulamprus quoyii","Scincidae",82.6,132.8,12.2,24.2,37.2,5,5,5,"terrestrial","Cogger (1992)",0.92,0.25,0.34,0,0
167,"Eumeces schneideri","Scincidae",126.5,205.3,14.2,33,46.9,5,5,13,"terrestrial, cryptic","Schleich et al. (1996)",0.91,0.67,0.77,0,0
168,"Feylinia polylepis","Scincidae",130.6,49.9,4.7,0,0,0,0,13,"terrestrial (not burrowing)  for genus","Spawls et al. (2002)",-1.36,-0.14,-0.48,1,0
169,"Glaphyromorphus gracilipes","Scincidae",70.33,111.67,6.03,10,15.33,5,5,3,"burrowing","Cogger (1992)",0.52,-0.61,0.17,0,1
170,"Glaphyromorphus isolepis","Scincidae",56.73,86.27,7.04,13.36,19.82,5,5,11,"terrestrial","Cogger (1992)",0.73,-0.53,-0.12,0,0
171,"Gnypetoscincus queenslandiae","Scincidae",60,76,8.23,17.57,26.14,5,5,7,"terrestrial, cryptic","Cogger (1992)",0.9,-0.26,-0.32,0,0
172,"Gongylomorphus bojeri","Scincidae",47,66.9,6.6,12.2,19.9,5,5,1,"terrestrial","Vinson & Vinson (1969)",0.78,-0.69,-0.4,0,0
173,"Hakaria simonyi","Scincidae",45.3,49.3,3.8,5,9.4,5,5,2,,,0.48,-1.23,-0.77,0,
174,"Hemiergis peronii","Scincidae",49.5,81.5,4.58,8,11.5,4,4,4,"burrowing","Cogger (1992)",0.36,-1.09,-0.12,1,0
175,"Janetaescincus braueri","Scincidae",52.8,61.5,5.3,8,12.4,5,5,1,,,0.61,-0.81,-0.53,0,
176,"Lamprolepis smaragdinus","Scincidae",85,121.5,14.28,31.25,38.5,5,5,4,"arboreal","Pianka & Vitt (2003)",1.04,0.49,0.2,0,0
177,"Lerista bipes","Scincidae",48,39,3.1,0,8,0,2,1,"burrowing","Cogger (1992)",-0.72,-1.5,-0.45,1,1
178,"Lerista bougainvilli","Scincidae",52.67,53.33,4.67,7.83,12.83,5,5,6,"cryptic, terrestrial","Cogger (1992)",0.63,-0.88,-0.73,0,0
179,"Melanoseps occidentalis","Scincidae",120.5,39,4,0,0,0,0,10,"burrowing","Spawls et al. (2002)",-1.32,-0.28,-0.8,1,1
180,"Mesoscincus managuae","Scincidae",86.2,140.5,9.2,17.9,24,5,5,2,,,0.71,-0.03,0.4,0,
181,"Mesoscincus schwartzei","Scincidae",108.1,174.4,12.4,27.1,37,5,5,6,"terrestrial","Lee (1996)",0.86,0.43,0.61,0,0
182,"Morethia butleri","Scincidae",44.71,62.43,5.53,11.43,18.29,5,5,7,"terrestrial","Cogger (1992)",0.74,-0.88,-0.49,0,0
183,"Nangura spinosa","Scincidae",91.2,77.4,13.9,27.8,35.6,5,5,5,"terrestrial",,1.14,0.68,-0.41,0,0
184,"Notoscincus ornatus","Scincidae",36.14,52.57,4.67,9.86,14.57,5,5,7,"terrestrial","Cogger (1992)",0.69,-1.2,-0.66,0,0
